Merge Conflict|Merge conflicts occur when competing changes are made to the same line of a file, or when one person edits a file and another person deletes the same file.
Divergent|A Git branch divergence consists of the difference between the current state of two branches and the list of changes (commits) performed in each branch from the common state to get the current divergence (commits ahead and behind).
ArrayList<T>|ArrayList is a type of data structure that is a dynamic array and we do not have to specify the size while creating it, the size of the array automatically increases when we dynamically add and remove items. Java ArrayList is a part of the Java collection framework and it is a class of java.util package. Which comes with many built-in features.
